Test,Cluster,Count,Mean_s,StdDev_s,Min_s,Max_s,Median_s,TCP_ms,HTTP_ms,DNS_ms,BW_Mbps
java_cold,C1,5,40.379,7.947,26.406,46.359,43.237,7.18,146.04,36.00,47.14
java_hot,C1,5,24.449,1.813,22.482,26.718,24.700,6.92,139.24,0.20,45.10
javascript_cold,C1,5,19.451,8.072,5.035,23.791,22.843,7.38,234.24,5.19,51.64
javascript_hot,C1,5,3.351,0.462,2.872,4.076,3.225,7.30,261.80,6.30,51.79
python_cold,C1,5,19.704,8.237,5.001,23.806,23.575,6.82,248.45,8.05,0.00
python_hot,C1,5,3.127,0.415,2.585,3.678,3.140,6.96,267.44,6.62,0.00
java_hot,C2,5,1.917,0.506,1.464,2.783,1.747,7.48,154.92,0.60,0.00
javascript_cold,C2,5,47.637,8.595,32.805,55.159,50.304,8.86,246.10,6.71,39.95
javascript_hot,C2,5,28.413,8.850,23.474,44.156,24.866,7.76,294.42,7.18,43.35
python_cold,C2,5,49.777,8.917,33.999,55.120,52.627,8.04,255.40,8.87,37.16
python_hot,C2,5,25.993,0.864,25.171,27.447,25.746,7.11,273.73,8.75,44.65
